increment_code,total_time,initial_time,increment,Speed_Category,Time_ID
13+1,13.816666666666666,13,1,Rapid,574
15+15,40.5,15,15,Classic,575
15+10,21.5,15,10,Rapid,576
15+10,22.33333333333333,15,10,Rapid,577
15+10,21.33333333333333,15,10,Rapid,578
15+10,23.0,15,10,Rapid,579
15+10,28.83333333333333,15,10,Rapid,580
15+10,22.5,15,10,Rapid,581
15+10,37.0,15,10,Rapid,582
15+10,24.166666666666664,15,10,Rapid,583
15+10,28.666666666666664,15,10,Rapid,584
15+10,31.666666666666664,15,10,Rapid,585
15+15,50.5,15,15,Classic,586
15+10,29.166666666666664,15,10,Rapid,587
15+10,24.0,15,10,Rapid,588
15+10,31.5,15,10,Rapid,589
15+10,23.5,15,10,Rapid,590
20+5,25.75,20,5,Rapid,591
15+10,32.666666666666664,15,10,Rapid,592
30+5,34.833333333333336,30,5,Classic,593
15+10,25.5,15,10,Rapid,594
15+10,25.666666666666664,15,10,Rapid,595
15+10,35.5,15,10,Rapid,596
15+10,26.0,15,10,Rapid,597
15+10,27.83333333333333,15,10,Rapid,598
15+10,38.83333333333333,15,10,Rapid,599
15+10,28.166666666666664,15,10,Rapid,600
15+10,29.0,15,10,Rapid,601
15+10,26.83333333333333,15,10,Rapid,602
15+10,31.166666666666664,15,10,Rapid,603
15+10,22.166666666666664,15,10,Rapid,604
10+10,25.166666666666664,10,10,Rapid,605
150+180,156.0,150,180,Classic,606
180+180,192.0,180,180,Classic,607
180+180,186.0,180,180,Classic,608
8+8,8.666666666666666,8,8,Rapid,609
3+12,16.8,3,12,Rapid,610
7+3,8.85,7,3,Rapid,611
7+10,17.666666666666664,7,10,Rapid,612
10+60,11.0,10,60,Classic,613
9+1,9.033333333333331,9,1,Rapid,614
9+1,9.433333333333334,9,1,Rapid,615
9+1,9.2,9,1,Rapid,616
9+1,9.233333333333333,9,1,Rapid,617
9+1,10.216666666666669,9,1,Rapid,618
9+1,9.05,9,1,Rapid,619
9+1,9.1,9,1,Rapid,620
15+2,17.266666666666666,15,2,Rapid,621
15+2,17.03333333333333,15,2,Rapid,622
15+2,15.633333333333333,15,2,Rapid,623
15+2,16.2,15,2,Rapid,624
15+2,16.133333333333333,15,2,Rapid,625
15+2,16.53333333333333,15,2,Rapid,626
15+2,18.666666666666668,15,2,Rapid,627
5+8,13.533333333333331,5,8,Rapid,628
5+8,14.733333333333333,5,8,Rapid,629
